frame,t,dt_us,accept,u0,v0,c0,u1,v1,c1
608,77.8644,3398.0,1,667.24,546.35,1.000,816.18,563.61,0.873
609,78.0020,6565.0,1,671.43,545.81,1.000,818.13,563.65,0.859
610,78.1477,6575.0,1,674.87,545.81,1.000,820.37,563.75,0.851
611,78.2894,3401.0,1,677.87,545.67,1.000,821.97,564.15,0.863
612,78.4336,3398.0,1,679.97,545.60,1.000,822.93,564.41,0.870
613,78.5743,6568.0,1,683.61,545.44,1.000,823.91,564.28,0.864
614,78.7144,3401.0,1,688.10,545.07,1.000,825.49,564.60,0.875
615,78.8523,6578.0,1,691.75,544.86,1.000,828.42,564.88,0.871
616,78.9932,6585.0,1,695.71,544.58,1.000,830.69,564.96,0.854
617,79.1370,6585.0,1,701.96,543.95,1.000,833.32,565.40,0.855
618,79.2762,6592.0,1,711.78,543.20,1.000,835.90,565.60,0.845
619,79.4148,3382.0,1,723.26,542.17,1.000,839.66,565.91,0.840
620,79.5506,3391.0,1,733.54,541.23,1.000,843.41,566.16,0.824
621,79.6997,6587.0,1,740.64,540.71,1.000,847.11,566.36,0.821
622,79.8424,6591.0,1,749.66,540.01,1.000,851.85,566.57,0.807
623,79.9820,6591.0,1,760.24,539.17,1.000,856.89,567.01,0.807
624,80.1264,3398.0,1,769.08,538.11,1.000,862.08,567.69,0.813
625,80.2669,3392.0,1,779.59,537.02,1.000,865.84,567.85,0.793
